price,address,features,is_active,url
470000,"330 S Michigan Ave APT 1605, Chicago, IL 60604","3 bds, 3 ba, 1,965 sqft",Active,https://www.zillow.com/homedetails/330-S-Michigan-Ave-APT-1605-Chicago-IL-60604/60269704_zpid/
329000,"330 S Michigan Ave APT 2001, Chicago, IL 60604","2 bds, 2 ba, -- sqft",Active,https://www.zillow.com/homedetails/330-S-Michigan-Ave-APT-2001-Chicago-IL-60604/58368644_zpid/
4449000,"310 S Michigan Ave UNIT 2502, Chicago, IL 60604","3 bds, 4 ba, 3,817 sqft",Active,https://www.zillow.com/homedetails/310-S-Michigan-Ave-UNIT-2502-Chicago-IL-60604/119094822_zpid/
389900,"310 S Michigan Ave UNIT 704, Chicago, IL 60604","2 bds, 2 ba, 1,335 sqft",Active,https://www.zillow.com/homedetails/310-S-Michigan-Ave-UNIT-704-Chicago-IL-60604/119097272_zpid/
389900,"330 S Michigan Ave APT 1812, Chicago, IL 60604","2 bds, 2 ba, 1,300 sqft",Active,https://www.zillow.com/homedetails/330-S-Michigan-Ave-APT-1812-Chicago-IL-60604/60269724_zpid/
579000,"310 S Michigan Ave UNIT 1803, Chicago, IL 60604","3 bds, 3 ba, 1,600 sqft",Active,https://www.zillow.com/homedetails/310-S-Michigan-Ave-UNIT-1803-Chicago-IL-60604/119098319_zpid/
1249995,"318 S Michigan Ave #600, Chicago, IL 60604","3 bds, 4 ba, 2,650 sqft",Active,https://www.zillow.com/homedetails/318-S-Michigan-Ave-600-Chicago-IL-60604/119972866_zpid/
450000,"310 S Michigan Ave UNIT 2104, Chicago, IL 60604","2 bds, 2 ba, 1,252 sqft",Active,https://www.zillow.com/homedetails/310-S-Michigan-Ave-UNIT-2104-Chicago-IL-60604/119087655_zpid/
499000,"310 S Michigan Ave UNIT 1603, Chicago, IL 60604","2 bds, 3 ba, 1,600 sqft",Active,https://www.zillow.com/homedetails/310-S-Michigan-Ave-UNIT-1603-Chicago-IL-60604/119098043_zpid/
325000,"1160 S Michigan Ave APT 1504, Chicago, IL 60605","1 bd, 1 ba, 850 sqft",Active,https://www.zillow.com/homedetails/1160-S-Michigan-Ave-APT-1504-Chicago-IL-60605/89955159_zpid/
298000,"1400 S Michigan Ave APT 2006, Chicago, IL 60605","1 bd, 1 ba, 800 sqft",Active,https://www.zillow.com/homedetails/1400-S-Michigan-Ave-APT-2006-Chicago-IL-60605/119974821_zpid/
814900,"1211 S Prairie Ave APT 2502, Chicago, IL 60605","2 bds, 2 ba, 1,547 sqft",Active,https://www.zillow.com/homedetails/1211-S-Prairie-Ave-APT-2502-Chicago-IL-60605/101267048_zpid/
450000,"910 S Michigan Ave APT 1715, Chicago, IL 60605","2 bds, 2 ba, 1,540 sqft",New,https://www.zillow.com/homedetails/910-S-Michigan-Ave-APT-1715-Chicago-IL-60605/70472129_zpid/
390000,"1111 S Wabash Ave APT 2501, Chicago, IL 60605","2 bds, 2 ba, 1,250 sqft",Active,https://www.zillow.com/homedetails/1111-S-Wabash-Ave-APT-2501-Chicago-IL-60605/70472381_zpid/
--,"740 S Federal St APT 1008, Chicago, IL 60605","Studio , 1 ba, 600 sqft",Auction,https://www.zillow.com/homedetails/740-S-Federal-St-APT-1008-Chicago-IL-60605/87718214_zpid/
1275000,"41 E 8th St APT 3502, Chicago, IL 60605","3 bds, 3 ba, 3,000 sqft",Active,https://www.zillow.com/homedetails/41-E-8th-St-APT-3502-Chicago-IL-60605/65551527_zpid/
450000,"1515 S Prairie Ave UNIT 511, Chicago, IL 60605","2 bds, 2 ba, 1,600 sqft",Active,https://www.zillow.com/homedetails/1515-S-Prairie-Ave-UNIT-511-Chicago-IL-60605/65552120_zpid/
419500,"1334 S Wabash Ave UNIT B, Chicago, IL 60605","2 bds, 2 ba, 1,500 sqft",Active,https://www.zillow.com/homedetails/1334-S-Wabash-Ave-UNIT-B-Chicago-IL-60605/54539837_zpid/
619000,"1235 S Prairie Ave APT 601, Chicago, IL 60605","2 bds, 2 ba, 1,560 sqft",Active,https://www.zillow.com/homedetails/1235-S-Prairie-Ave-APT-601-Chicago-IL-60605/87711296_zpid/
1600000,"1335 S Prairie Ave UNIT 1501, Chicago, IL 60605","3 bds, 4 ba, 4,000 sqft",Active,https://www.zillow.com/homedetails/1335-S-Prairie-Ave-UNIT-1501-Chicago-IL-60605/65552185_zpid/
394000,"233 E 13th St APT 1610, Chicago, IL 60605","2 bds, 2 ba, 1,008 sqft",Active,https://www.zillow.com/homedetails/233-E-13th-St-APT-1610-Chicago-IL-60605/70475082_zpid/
595000,"1211 S Prairie Ave APT 3602, Chicago, IL 60605","1 bd, 1 ba, 1,002 sqft",Active,https://www.zillow.com/homedetails/1211-S-Prairie-Ave-APT-3602-Chicago-IL-60605/101474914_zpid/
435000,"1530 S State St APT 501, Chicago, IL 60605","2 bds, 2 ba, 1,367 sqft",Active,https://www.zillow.com/homedetails/1530-S-State-St-APT-501-Chicago-IL-60605/65572188_zpid/
327000,"899 S Plymouth Ct APT 1403, Chicago, IL 60605","2 bds, 2 ba, 1,250 sqft",Active,https://www.zillow.com/homedetails/899-S-Plymouth-Ct-APT-1403-Chicago-IL-60605/3872191_zpid/
1295000,"1201 S Prairie Ave APT 3301, Chicago, IL 60605","3 bds, 3 ba, 3,000 sqft",Active,https://www.zillow.com/homedetails/1201-S-Prairie-Ave-APT-3301-Chicago-IL-60605/113952656_zpid/
695000,"1201 S Prairie Ave APT 5104, Chicago, IL 60605","2 bds, 2 ba, 1,238 sqft",Active,https://www.zillow.com/homedetails/1201-S-Prairie-Ave-APT-5104-Chicago-IL-60605/113962832_zpid/
449999,"1250 S Michigan Ave APT 1609, Chicago, IL 60605","2 bds, 2 ba, 1,257 sqft",Price Change,https://www.zillow.com/homedetails/1250-S-Michigan-Ave-APT-1609-Chicago-IL-60605/80843698_zpid/
1059000,"1242 S State St, Chicago, IL 60605","3 bds, 4 ba, -- sqft",Active,https://www.zillow.com/homedetails/1242-S-State-St-Chicago-IL-60605/3876037_zpid/
1098000,"49 W 15th St APT B, Chicago, IL 60605","4 bds, 4 ba, 3,300 sqft",Active,https://www.zillow.com/homedetails/49-W-15th-St-APT-B-Chicago-IL-60605/60270661_zpid/
399000,"1515 S Prairie Ave UNIT 706, Chicago, IL 60605","2 bds, 2 ba, 1,254 sqft",Active,https://www.zillow.com/homedetails/1515-S-Prairie-Ave-UNIT-706-Chicago-IL-60605/65572867_zpid/
420000,"1400 S Michigan Ave APT 1609, Chicago, IL 60605","2 bds, 2 ba, 1,027 sqft",Active,https://www.zillow.com/homedetails/1400-S-Michigan-Ave-APT-1609-Chicago-IL-60605/119972100_zpid/
969000,"1515 S Prairie Ave UNIT 1013, Chicago, IL 60605","4 bds, 3 ba, 2,757 sqft",Active,https://www.zillow.com/homedetails/1515-S-Prairie-Ave-UNIT-1013-Chicago-IL-60605/65572914_zpid/
1139000,"1211 S Prairie Ave APT 1604, Chicago, IL 60605","3 bds, 3 ba, 2,218 sqft",Price Change,https://www.zillow.com/homedetails/1211-S-Prairie-Ave-APT-1604-Chicago-IL-60605/87697321_zpid/
439900,"910 S Michigan Ave APT 1615, Chicago, IL 60605","2 bds, 2 ba, 1,540 sqft",Active,https://www.zillow.com/homedetails/910-S-Michigan-Ave-APT-1615-Chicago-IL-60605/70472120_zpid/
499900,"233 E 13th St APT 601, Chicago, IL 60605","2 bds, 2 ba, 1,290 sqft",Active,https://www.zillow.com/homedetails/233-E-13th-St-APT-601-Chicago-IL-60605/70474978_zpid/
420000,"1111 S Wabash Ave APT 2605, Chicago, IL 60605","2 bds, 2 ba, 1,498 sqft",Active,https://www.zillow.com/homedetails/1111-S-Wabash-Ave-APT-2605-Chicago-IL-60605/70472393_zpid/
1250000,"1201 S Prairie Ave APT 4103, Chicago, IL 60605","3 bds, 2 ba, 1,746 sqft",Active,https://www.zillow.com/homedetails/1201-S-Prairie-Ave-APT-4103-Chicago-IL-60605/113961464_zpid/
1749900,"719 S State St, Chicago, IL 60605","5,480 sqft lot ",Active,https://www.zillow.com/homedetails/719-S-State-St-Chicago-IL-60605/158830818_zpid/
365500,"1530 S State St APT 703, Chicago, IL 60605","1 bd, 2 ba, 1,218 sqft",Active,https://www.zillow.com/homedetails/1530-S-State-St-APT-703-Chicago-IL-60605/65552049_zpid/
465000,"233 E 13th St APT 402, Chicago, IL 60605","2 bds, 2 ba, 1,346 sqft",Active,https://www.zillow.com/homedetails/233-E-13th-St-APT-402-Chicago-IL-60605/70474965_zpid/
669000,"100 14th St #1001, Chicago, IL 60605","3 bds, 2 ba, 1,667 sqft",Active,https://www.zillow.com/homedetails/100-14th-St-1001-Chicago-IL-60605/99347250_zpid/
